,artistName,trackName,end_time,day_of_week,time_played,skipped
0,Alabama Shakes,Sound & Color,2019-09-23 07:23:00,0,0 days 00:01:14.389000000,False
1,Jasmine Thompson,Cherry Wine,2019-09-23 07:24:00,0,0 days 00:00:51.318000000,False
2,Corey Kilgannon,"Some Things Are Better Left Unsaid, Yes?",2019-09-23 07:27:00,0,0 days 00:02:07.509000000,False
3,French Montana,Migo Montana,2019-10-17 03:15:00,3,0 days 00:01:15.196000000,False
4,Lauv,Enemies,2019-10-17 03:17:00,3,0 days 00:01:30.858000000,False
5,Shawn Mendes,If I Can't Have You - Gryffin Remix,2019-10-17 03:19:00,3,0 days 00:02:19.050000000,False
6,Gryffin,Just For A Moment (feat. Iselin),2019-10-17 03:25:00,3,0 days 00:04:14.556000000,False
7,Vance Joy,Saturday Sun,2019-10-17 03:29:00,3,0 days 00:03:34.720000000,False
8,Maroon 5,Memories,2019-10-17 04:59:00,3,0 days 00:00:13.072000000,True
9,88-Keys,That's Life (feat. Mac Miller & Sia),2019-10-17 04:59:00,3,0 days 00:00:02.069000000,True
10,Post Malone,Circles,2019-10-17 05:02:00,3,0 days 00:03:35.280000000,False
11,blackbear,hot girl bummer,2019-10-17 05:03:00,3,0 days 00:00:20.201000000,True
12,Tones And I,Dance Monkey,2019-10-17 05:03:00,3,0 days 00:00:23.222000000,True
13,Travis Scott,HIGHEST IN THE ROOM,2019-10-17 05:03:00,3,0 days 00:00:02.972000000,True
14,Harry Styles,Lights Up,2019-10-17 05:04:00,3,0 days 00:00:01.880000000,True
15,Juice WRLD,Lucid Dreams,2019-10-17 05:14:00,3,0 days 00:00:13.653000000,True
16,Young the Giant,My Body,2019-10-17 05:28:00,3,0 days 00:00:03.872000000,True
17,SAINt JHN,Roses - Imanbek Remix,2019-10-17 05:32:00,3,0 days 00:00:05.962000000,True
18,Hoodie Allen,100 Percent of Something,2019-10-17 05:32:00,3,0 days 00:00:31.242000000,False
19,RL Grime,Light Me Up,2019-10-17 05:33:00,3,0 days 00:00:58.229000000,False
20,Young the Giant,My Body,2019-10-17 05:33:00,3,0 days 00:00:15.264000000,True
21,Rachel Platten,Fight Song,2019-10-17 05:36:00,3,0 days 00:00:52.512000000,False
22,Echosmith,Tell Her You Love Her,2019-10-17 05:36:00,3,0 days 00:02:39.786000000,False
23,Nate Ruess,Nothing Without Love,2019-10-17 05:39:00,3,0 days 00:00:13.663000000,True
24,Timbaland,Apologize,2019-10-17 05:39:00,3,0 days 00:00:01.023000000,True
25,The Goo Goo Dolls,Iris,2019-10-17 05:40:00,3,0 days 00:00:01.418000000,True
26,Robin Schulz,Sugar (feat. Francesco Yates),2019-10-17 05:40:00,3,0 days 00:00:10.815000000,True
27,The Fray,How to Save a Life,2019-10-17 05:40:00,3,0 days 00:00:01.226000000,True
28,Enrique Iglesias,Bailando - Spanish Version,2019-10-17 05:40:00,3,0 days 00:00:02.154000000,True
29,Beyoncé,Run the World (Girls),2019-10-17 05:40:00,3,0 days 00:00:00.053000000,True
30,John Mayer,Waiting On the World to Change,2019-10-17 05:40:00,3,0 days 00:00:00.138000000,True
31,Sia,Elastic Heart,2019-10-17 05:40:00,3,0 days 00:00:01.845000000,True
32,John Mayer,Dreaming with a Broken Heart,2019-10-17 05:40:00,3,0 days 00:00:01.834000000,True
33,Fetty Wap,Trap Queen,2019-10-17 05:40:00,3,0 days 00:00:03.349000000,True
34,Robin Schulz,Headlights (feat. Ilsey),2019-10-17 05:40:00,3,0 days 00:00:00.000000000,True
35,OMI,Cheerleader - Felix Jaehn Remix Radio Edit,2019-10-17 05:40:00,3,0 days 00:00:01.397000000,True
36,Flo Rida,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",2019-10-17 05:41:00,3,0 days 00:00:09.493000000,True
37,Salt-N-Pepa,Push It,2019-10-17 05:41:00,3,0 days 00:00:02.101000000,True
38,JAY-Z,Ni**as In Paris,2019-10-17 05:56:00,3,0 days 00:00:07.680000000,True
39,ILLENIUM,Good Things Fall Apart (with Jon Bellion),2019-10-17 06:00:00,3,0 days 00:03:36.668000000,False
40,Vance Joy,Saturday Sun,2019-10-17 06:00:00,3,0 days 00:00:04.495000000,True
41,Andy Grammer,Smoke Clears,2019-10-17 06:03:00,3,0 days 00:00:26.304000000,True
42,Jon Bellion,Stupid Deep,2019-10-17 06:03:00,3,0 days 00:02:58.176000000,False
43,Wrabel,11 Blocks,2019-10-17 06:03:00,3,0 days 00:00:01.674000000,True
44,Chelsea Cutler,You're Not Missing Me,2019-10-19 19:27:00,5,0 days 00:02:18.481000000,False
45,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,2019-10-19 19:28:00,5,0 days 00:00:01.664000000,True
46,Backstreet Boys,Don't Go Breaking My Heart,2019-10-19 19:28:00,5,0 days 00:00:16.874000000,True
47,Danrell,Hostage,2019-10-19 19:31:00,5,0 days 00:03:15.857000000,False
48,DREAMERS,Sweet Disaster,2019-10-19 19:33:00,5,0 days 00:00:08.170000000,True
49,Lauv,I Like Me Better,2019-10-19 19:33:00,5,0 days 00:00:16.762000000,True
50,Khalid,Better,2019-10-19 19:37:00,5,0 days 00:03:49.400000000,False
51,Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder),2019-10-19 19:48:00,5,0 days 00:00:18.677000000,True
52,Grouplove,Tongue Tied,2019-10-19 19:48:00,5,0 days 00:00:46.665000000,False
53,Bazzi,Star,2019-10-19 19:51:00,5,0 days 00:02:49.872000000,False
54,Bazzi,Star,2019-10-19 19:51:00,5,0 days 00:00:00.735000000,True
55,Playboi Carti,Shoota (feat. Lil Uzi Vert),2019-10-19 19:51:00,5,0 days 00:00:21.904000000,True
56,Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder),2019-10-19 19:55:00,5,0 days 00:03:41.746000000,False
57,Bazzi,Star,2019-10-19 19:56:00,5,0 days 00:00:54.713000000,False
58,Lil Tecca,Ransom,2019-10-19 19:57:00,5,0 days 00:01:21.023000000,False
59,SAYGRACE,You Don't Own Me (feat. G-Eazy),2019-10-19 20:00:00,5,0 days 00:00:04.064000000,True
60,Quinn XCII,Autopilot,2019-10-19 20:00:00,5,0 days 00:00:47.861000000,False
61,Sia,"Genius (feat. Sia, Diplo, and Labrinth)",2019-10-19 20:04:00,5,0 days 00:03:33.706000000,False
62,Sia,"Genius (feat. Sia, Diplo, and Labrinth) - Lil Wayne Remix",2019-10-19 20:07:00,5,0 days 00:00:14.869000000,True
63,Sia,"Heaven Can Wait (feat. Sia, Diplo, and Labrinth)",2019-10-19 20:07:00,5,0 days 00:03:15.746000000,False
64,Ellie-Louise Delacruz,Twilight After Night,2019-10-19 20:08:00,5,0 days 00:00:00.586000000,True
65,Sia,"Mountains (feat. Sia, Diplo, and Labrinth)",2019-10-19 20:08:00,5,0 days 00:00:31.349000000,False
66,Adam Melchor,Means To A Mend,2019-10-19 20:08:00,5,0 days 00:00:05.397000000,True
67,Koa Ross,Raptor King,2019-10-19 20:08:00,5,0 days 00:00:01.727000000,True
68,Delta Sleep,Sans Soleil (acoustic Demo),2019-10-19 20:08:00,5,0 days 00:00:04.437000000,True
69,The Dodos,The Surface,2019-10-19 20:08:00,5,0 days 00:00:07.530000000,True
70,Fast Animals and Slow Kids,Non potrei mai,2019-10-19 20:08:00,5,0 days 00:00:01.301000000,True
71,Fruit Bats,The Bottom of It,2019-10-19 20:08:00,5,0 days 00:00:02.250000000,True
72,Vampire Weekend,Unbearably White,2019-10-19 20:09:00,5,0 days 00:00:25.973000000,True
73,M. Craft,Dragonfly,2019-10-19 20:09:00,5,0 days 00:00:18.368000000,True
74,I'm From Barcelona,Always Spring,2019-10-19 20:12:00,5,0 days 00:02:43.530000000,False
75,Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder),2019-10-19 20:14:00,5,0 days 00:00:20.085000000,True
76,Those Dancing Days,I'll Be Yours,2019-10-19 20:14:00,5,0 days 00:01:58.911000000,False
77,Joseph Arthur,Honey And The Moon,2019-10-19 20:15:00,5,0 days 00:01:23.306000000,False
78,The Moldy Peaches,Anyone Else But You,2019-10-19 20:16:00,5,0 days 00:00:33.098000000,False
79,Albert Hammond Jr,In Transit,2019-10-19 20:17:00,5,0 days 00:00:36.053000000,False
80,Black Kids,I'm Not Gonna Teach Your Boyfriend How to Dance with You,2019-10-19 20:17:00,5,0 days 00:00:47.946000000,False
81,Brandon Flowers,Crossfire,2019-10-19 20:18:00,5,0 days 00:00:18.741000000,True
82,Get Cape. Wear Cape. Fly,Once More with Feeling,2019-10-19 20:19:00,5,0 days 00:00:45.866000000,False
83,Mando Diao,You Can't Steal My Love,2019-10-19 20:19:00,5,0 days 00:00:17.333000000,True
84,Alan Gogoll,Friendly Elephants (Remastered),2019-10-19 20:20:00,5,0 days 00:01:11.093000000,False
85,Alan Gogoll,Kindling (Remastered),2019-10-19 21:19:00,5,0 days 00:02:20.898000000,False
86,Alan Gogoll,Owl's Friend (Remastered),2019-10-19 21:22:00,5,0 days 00:02:38.545000000,False
87,Alan Gogoll,Grizzly Caterpillar (Study Version),2019-10-19 21:25:00,5,0 days 00:03:02.880000000,False
88,Alan Gogoll,Blossom,2019-10-19 21:27:00,5,0 days 00:01:53.275000000,False
89,Alan Gogoll,Echidna's Parade (Remastered),2019-10-19 21:30:00,5,0 days 00:03:12.168000000,False
90,Alan Gogoll,Massive Mammal (Remastered),2019-10-19 21:31:00,5,0 days 00:01:23.563000000,False
91,Alan Gogoll,Eloquent Frog (Remastered),2019-10-19 21:32:00,5,0 days 00:00:52.607000000,False
92,Alan Gogoll,Mulberry Mouse (Remastered),2019-10-19 21:34:00,5,0 days 00:02:06.037000000,False
93,Alan Gogoll,Button on Brown (Remastered),2019-10-19 21:35:00,5,0 days 00:01:04.765000000,False
94,Alan Gogoll,Whimsical Toad (Remastered),2019-10-19 21:37:00,5,0 days 00:02:07.988000000,False
95,Alan Gogoll,Bellflower Burrows (Remastered),2019-10-19 21:39:00,5,0 days 00:02:21.734000000,False
96,Alan Gogoll,Bell's Harmonic (Remastered),2019-10-19 21:43:00,5,0 days 00:03:45.419000000,False
97,Alan Gogoll,One Line Fox (Remastered),2019-10-19 21:45:00,5,0 days 00:02:19.226000000,False
98,Alan Gogoll,Grizzly Caterpillar (Remastered),2019-10-19 21:45:00,5,0 days 00:00:08.886000000,True
99,Alan Gogoll,One Line Fox (Remastered),2019-10-19 21:46:00,5,0 days 00:00:50.197000000,False
100,Lummus Park,Ocean And 17th,2019-10-19 21:47:00,5,0 days 00:00:12.693000000,True
101,Alpha Brain Waves,Reading Music,2019-10-19 21:47:00,5,0 days 00:00:07.583000000,True
102,Edamame,Mango Pulp (feat. Ian Ewing),2019-10-19 21:51:00,5,0 days 00:00:09.962000000,True
103,Edamame,Mango Pulp (feat. Ian Ewing),2019-10-19 21:51:00,5,0 days 00:04:25.371000000,False
104,Admiral,Trunk Popped,2019-10-19 21:51:00,5,0 days 00:00:12.961000000,True
105,Admiral,Trunk Popped,2019-10-19 21:53:00,5,0 days 00:01:48.970000000,False
106,Dylan Sitts,Off The Cuff,2019-10-19 21:55:00,5,0 days 00:02:10.200000000,False
107,MNDLSS,I'm The Only One You Want (Instrumental Version),2019-10-19 21:59:00,5,0 days 00:03:21.081000000,False
108,Dog Barks,Inpeaching,2019-10-19 22:00:00,5,0 days 00:01:28.648000000,False
109,Ms Bronx,House on the Hill,2019-10-19 22:03:00,5,0 days 00:02:39.831000000,False
110,[ocean jams],Throne,2019-10-19 22:05:00,5,0 days 00:02:32.910000000,False
111,Austeria,The Shimmering,2019-10-19 22:07:00,5,0 days 00:01:39.156000000,False
112,[ocean jams],Fumes,2019-10-19 22:09:00,5,0 days 00:02:18.556000000,False
113,Damma Beatz,Rich Coast,2019-10-19 22:12:00,5,0 days 00:03:22.062000000,False
114,Ballpoint,Pigeons,2019-10-19 22:13:00,5,0 days 00:00:17.349000000,True
115,Fuzhou,What I Said,2019-10-19 22:54:00,5,0 days 00:00:22.671000000,True
116,Luwaks,Into The Blue,2019-10-19 22:57:00,5,0 days 00:02:50.928000000,False
117,Sugar Blizz,I Just Wanna Love Ya (Instrumental Version),2019-10-19 23:00:00,5,0 days 00:03:12.184000000,False
118,Galavant Cross,Needless to Say,2019-10-19 23:01:00,5,0 days 00:00:21.382000000,True
119,Sugar Blizz,I Just Wanna Love Ya (Instrumental Version),2019-10-19 23:02:00,5,0 days 00:01:04.736000000,False
120,Galavant Cross,Needless to Say,2019-10-19 23:05:00,5,0 days 00:03:07.105000000,False
121,Alex Froot,Then I Go,2019-10-19 23:08:00,5,0 days 00:03:12.384000000,False
122,Alex Froot,Then I Go,2019-10-19 23:10:00,5,0 days 00:00:12.288000000,True
123,Ballpoint,Paycheck,2019-10-19 23:10:00,5,0 days 00:01:42.978000000,False
124,Ballpoint,Paycheck,2019-10-19 23:11:00,5,0 days 00:01:07.960000000,False
125,Ooyy,Too Fast,2019-10-19 23:14:00,5,0 days 00:02:50.659000000,False
126,Extrana,Intergalaxy,2019-10-19 23:17:00,5,0 days 00:03:36.434000000,False
127,Push N' Glide,Candy Floss,2019-10-19 23:19:00,5,0 days 00:02:20.531000000,False
128,Push N' Glide,Candy Floss,2019-10-19 23:20:00,5,0 days 00:00:05.663000000,True
129,Extrana,Intergalaxy,2019-10-19 23:20:00,5,0 days 00:00:08.373000000,True
130,Sickly,Upside Down,2019-10-19 23:21:00,5,0 days 00:00:59.584000000,False
131,Timothy Infinite,Suave,2019-10-19 23:23:00,5,0 days 00:02:32.867000000,False
132,Homebody,Raspberry,2019-10-19 23:26:00,5,0 days 00:03:00.465000000,False
133,Mentalism,Clouds,2019-10-19 23:29:00,5,0 days 00:02:27.548000000,False
134,Type Beat,Juice WRLD - Instrumental,2019-10-19 23:32:00,5,0 days 00:03:12.000000000,False
135,Hermantra,Wonder,2019-10-19 23:35:00,5,0 days 00:03:13.714000000,False
136,_91nova,Mercurius,2019-10-19 23:49:00,5,0 days 00:02:31.545000000,False
137,Milton Breech,BFF,2019-10-19 23:51:00,5,0 days 00:02:41.644000000,False
138,Cushy,Wavelength,2019-10-19 23:54:00,5,0 days 00:02:35.925000000,False
139,Fractite,Nights,2019-10-19 23:56:00,5,0 days 00:02:33.600000000,False
140,Tamsui,Memories,2019-10-20 00:06:00,6,0 days 00:04:19.156000000,False
141,Friends With Animals,Rotations,2019-10-20 00:09:00,6,0 days 00:02:55.444000000,False
142,AGST,Recess,2019-10-20 00:18:00,6,0 days 00:05:56.840000000,False
143,Ensidya,Spirals,2019-10-20 00:21:00,6,0 days 00:02:36.529000000,False
144,Mad Q,Grace,2019-10-20 00:23:00,6,0 days 00:02:23.322000000,False
145,Homebody,Prix,2019-10-20 00:23:00,6,0 days 00:00:03.299000000,True
146,ToMC Beatz,Deep Side Ride,2019-10-20 00:23:00,6,0 days 00:00:01.482000000,True
147,Homebody,Prix,2019-10-20 00:25:00,6,0 days 00:02:22.528000000,False
148,ToMC Beatz,Deep Side Ride,2019-10-20 00:28:00,6,0 days 00:02:24.330000000,False
149,Ooyy,Pink Mirrors,2019-10-20 00:31:00,6,0 days 00:02:52.140000000,False
150,Ballpoint,Spectra,2019-10-20 00:45:00,6,0 days 00:02:09.098000000,False
151,Luwaks,Golden Rules,2019-10-20 00:48:00,6,0 days 00:03:20.126000000,False
152,Majk Jutbo,Paco,2019-10-20 00:50:00,6,0 days 00:02:19.807000000,False
153,Soulja Boy,Pretty Boy Swag,2019-10-20 03:17:00,6,0 days 00:00:08.684000000,True
154,Trippie Redd,Dark Knight Dummo (Feat. Travis Scott),2019-10-20 03:17:00,6,0 days 00:00:02.647000000,True
155,Shelley FKA DRAM,Broccoli,2019-10-20 03:17:00,6,0 days 00:03:45.205000000,False
156,The Weeknd,The Hills,2019-10-20 03:17:00,6,0 days 00:00:02.995000000,True
157,Fetty Wap,My Way (feat. Monty),2019-10-20 03:17:00,6,0 days 00:00:00.000000000,True
158,Post Malone,White Iverson,2019-10-20 03:21:00,6,0 days 00:04:16.533000000,False
159,Wiz Khalifa,Ass Drop,2019-10-20 03:22:00,6,0 days 00:00:02.600000000,True
160,Youngbloodz,Snap Yo Fingers,2019-10-20 03:22:00,6,0 days 00:00:05.131000000,True
161,DJ Chose,Everywhere I Go,2019-10-20 03:22:00,6,0 days 00:00:46.892000000,False
162,Drake,Back To Back,2019-10-20 03:22:00,6,0 days 00:00:01.184000000,True
163,Drake,Energy,2019-10-20 03:22:00,6,0 days 00:00:01.068000000,True
164,A$AP Rocky,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",2019-10-20 03:22:00,6,0 days 00:00:01.648000000,True
165,Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),2019-10-20 03:23:00,6,0 days 00:00:00.000000000,True
166,Kendrick Lamar,"Bitch, Don’t Kill My Vibe",2019-10-20 03:23:00,6,0 days 00:00:19.504000000,True
167,Drake,Star67,2019-10-20 03:23:00,6,0 days 00:00:00.255000000,True
168,Kendrick Lamar,m.A.A.d city,2019-10-20 03:23:00,6,0 days 00:00:06.292000000,True
169,Kendrick Lamar,"Bitch, Don’t Kill My Vibe",2019-10-20 07:44:00,6,0 days 00:04:51.163000000,False
170,Childish Gambino,Bonfire,2019-10-20 07:47:00,6,0 days 00:02:57.836000000,False
171,Chance the Rapper,Cocoa Butter Kisses,2019-10-20 18:17:00,6,0 days 00:01:29.386000000,False
172,Rhye,Open,2019-10-20 18:20:00,6,0 days 00:03:37.053000000,False
173,Lake Street Dive,Good Kisser,2019-10-20 18:24:00,6,0 days 00:03:38.493000000,False
174,Kacey Musgraves,Butterflies,2019-10-20 18:26:00,6,0 days 00:01:26.440000000,False
175,Aquilo,Thin,2019-10-20 18:28:00,6,0 days 00:02:03.456000000,False
176,Quinn XCII,When I Die,2019-10-20 18:31:00,6,0 days 00:00:04.612000000,True
177,ODIE,Story,2019-10-20 18:31:00,6,0 days 00:03:13.201000000,False
178,Post Malone,Goodbyes (feat. Young Thug),2019-10-20 18:32:00,6,0 days 00:00:01.130000000,True
179,Kid Quill,Daily Routine,2019-10-20 18:32:00,6,0 days 00:00:57.130000000,False
180,BANKS,Gimme,2019-10-20 18:32:00,6,0 days 00:00:01.045000000,True
181,Tame Impala,Past Life,2019-10-20 18:32:00,6,0 days 00:00:01.258000000,True
182,Rihanna,Love On The Brain,2019-10-20 18:32:00,6,0 days 00:00:00.618000000,True
183,Rex Orange County,Corduroy Dreams,2019-10-20 18:35:00,6,0 days 00:03:26.974000000,False
184,Kim Mono,Blossom,2019-10-20 18:36:00,6,0 days 00:03:19.326000000,False
185,Alan Gogoll,Poems & Postcards (Remastered),2019-10-20 18:39:00,6,0 days 00:00:15.957000000,True
186,Sarah Spring,Under Cold Water,2019-10-20 18:40:00,6,0 days 00:01:09.102000000,False
187,Odin Sørlie,Lucida,2019-10-20 18:41:00,6,0 days 00:00:22.517000000,True
188,[bsd.u],island,2019-10-20 18:41:00,6,0 days 00:00:07.326000000,True
189,.ihaveaface,by my side,2019-10-20 18:42:00,6,0 days 00:01:10.856000000,False
190,A L E X,I need to paint my walls,2019-10-20 18:42:00,6,0 days 00:00:17.611000000,True
191,Jinsang,Reflection,2019-10-20 18:44:00,6,0 days 00:01:55.263000000,False
192,Maths Time Joy,Going Nowhere - Stripped,2019-10-20 18:45:00,6,0 days 00:00:11.189000000,True
193,Beck,Wow,2019-10-20 18:48:00,6,0 days 00:03:42.335000000,False
194,Louis The Child,Interstellar,2019-10-20 18:49:00,6,0 days 00:00:28.115000000,True
195,NGHTMRE,GUD VIBRATIONS,2019-10-20 18:49:00,6,0 days 00:00:02.080000000,True
196,Louis The Child,Interstellar,2019-10-20 18:52:00,6,0 days 00:03:19.206000000,False
197,NGHTMRE,GUD VIBRATIONS,2019-10-20 18:56:00,6,0 days 00:03:44.210000000,False
198,Flume,Left Alone - Ta-Ku Remix,2019-10-20 19:00:00,6,0 days 00:04:01.337000000,False
199,Pretty Lights,Down The Line,2019-10-20 19:02:00,6,0 days 00:00:01.962000000,True
200,sagun,I'll Keep You Safe,2019-10-20 19:02:00,6,0 days 00:02:50.895000000,False
201,Alex Lustig,Free Form,2019-10-20 19:05:00,6,0 days 00:02:40.608000000,False
202,Flume,Holdin On,2019-10-20 19:08:00,6,0 days 00:02:34.414000000,False
203,Kidswaste,Free,2019-10-20 19:10:00,6,0 days 00:00:24.230000000,True
204,Gnavis,Underwater.,2019-10-20 19:10:00,6,0 days 00:02:11.526000000,False
205,The Deli,Poppa,2019-10-20 19:13:00,6,0 days 00:00:16.096000000,True
206,FELIVAND,Same Old,2019-10-20 19:13:00,6,0 days 00:02:57.258000000,False
207,Alex Lustig,Dusk,2019-10-20 19:13:00,6,0 days 00:00:06.805000000,True
208,sagun,surface,2019-10-20 19:16:00,6,0 days 00:02:17.919000000,False
209,UTAH,Glass House,2019-10-20 19:21:00,6,0 days 00:00:23.200000000,True
210,Two People,"I'm Tied, To You",2019-10-20 19:21:00,6,0 days 00:05:14.141000000,False
211,Tina Guo,Journey,2019-10-20 19:21:00,6,0 days 00:00:02.208000000,True
212,Amilli,Rarri,2019-10-20 19:21:00,6,0 days 00:00:07.520000000,True
213,Ooyy,Pink Mirrors,2019-10-20 19:22:00,6,0 days 00:00:09.418000000,True
214,Louis The Child,Space Jam,2019-10-20 19:23:00,6,0 days 00:01:41.898000000,False
215,Moana Karaoke,You're Welcome - Instrumental,2019-10-20 19:23:00,6,0 days 00:00:07.360000000,True
216,Big Wild,When I Get There,2019-10-20 19:26:00,6,0 days 00:02:18.250000000,False
217,Fall on Your Sword,I'm Never Gonna Call You,2019-10-20 19:27:00,6,0 days 00:01:24.842000000,False
218,Cardboard Kids,Echo Boomer,2019-10-20 19:32:00,6,0 days 00:00:13.397000000,True
219,DROELOE,Sunburn,2019-10-20 19:32:00,6,0 days 00:00:14.532000000,True
220,DROELOE,Sunburn,2019-10-20 19:32:00,6,0 days 00:00:04.224000000,True
221,Whethan,Superlove (feat. Oh Wonder),2019-10-20 19:32:00,6,0 days 00:00:05.706000000,True
222,UTAH,Cities,2019-10-20 19:32:00,6,0 days 00:04:25.912000000,False
223,UTAH,Cities,2019-10-20 19:32:00,6,0 days 00:00:12.693000000,True
224,The Limousines,Haunted,2019-10-20 19:33:00,6,0 days 00:00:49.162000000,False
225,27,Do What You Do,2019-10-20 19:35:00,6,0 days 00:01:43.200000000,False
226,Lovelier Other,Hidden Shelters,2019-10-20 19:37:00,6,0 days 00:00:20.789000000,True
227,Susanne Fade,How Deep Is The Ocean,2019-10-20 19:37:00,6,0 days 00:00:10.933000000,True
228,Unknown Mortal Orchestra,Hunnybee,2019-10-20 19:37:00,6,0 days 00:00:06.378000000,True
229,Rachel Younger,Someday My Prince Will Come,2019-10-20 19:37:00,6,0 days 00:00:05.397000000,True
230,Carly Van Skaik,Blue Diamond Eyes,2019-10-20 19:37:00,6,0 days 00:01:47.146000000,False
231,Polo & Pan,Nanã,2019-10-20 19:37:00,6,0 days 00:00:00.864000000,True
232,Dennis Roland,The Way You Look Tonight,2019-10-20 19:41:00,6,0 days 00:03:35.719000000,False
233,Morris Valentin,Going Places,2019-10-20 19:45:00,6,0 days 00:04:18.360000000,False
234,David Fitzpatrick Trio,I Didn't Know What Time It Was,2019-10-20 19:50:00,6,0 days 00:04:47.381000000,False
235,Magnus Ringblom Quartet,Hopefully Just Imagination,2019-10-20 19:54:00,6,0 days 00:03:39.508000000,False
236,Schultz/Bagge,Martin the Machine,2019-10-20 19:58:00,6,0 days 00:04:24.000000000,False
237,Sofia Rojic,Misty,2019-10-20 20:00:00,6,0 days 00:02:39.826000000,False
238,Carl Bagge Trio,I’m Old Fashioned,2019-10-20 20:05:00,6,0 days 00:04:32.000000000,False
239,Kjetil Mulelid Trio,Waltz for Ima,2019-10-20 20:06:00,6,0 days 00:00:56.690000000,False
240,Schultz/Bagge,Old Country,2019-10-20 20:12:00,6,0 days 00:05:52.250000000,False
241,Joel Lyssarides,Meditation,2019-10-20 20:17:00,6,0 days 00:04:53.401000000,False
242,Hara Noda,Lower East,2019-10-20 20:20:00,6,0 days 00:03:29.375000000,False
243,CMC 3,Love Is Here To Stay,2019-10-20 20:24:00,6,0 days 00:00:13.383000000,True
244,Mandevilla,Someone to watch over me,2019-10-20 20:24:00,6,0 days 00:04:18.000000000,False
245,Yolanda Be Cool,A Baru in New York (feat. Gurruml) [Flume Soundtrack Remix],2019-10-20 20:27:00,6,0 days 00:02:25.365000000,False
246,Washed Out,Paracosm,2019-10-20 20:33:00,6,0 days 00:06:32.240000000,False
247,Pretty Lights,Around the Block (Datsik Remix) [feat. Talib Kweli],2019-10-20 20:34:00,6,0 days 00:01:07.607000000,False
248,FKJ,Go Back Home,2019-10-20 20:37:00,6,0 days 00:00:56.141000000,False
249,Rex Orange County,Television / So Far So Good,2019-10-20 20:38:00,6,0 days 00:00:28.309000000,True
250,Quinn XCII,Autopilot,2019-10-20 20:38:00,6,0 days 00:00:01.450000000,True
251,Pretty Lights,Finally Moving,2019-10-20 20:38:00,6,0 days 00:01:02.508000000,False
252,Grant,Starship,2019-10-20 20:38:00,6,0 days 00:00:04.117000000,True
253,Flume,Say It - Illenium Remix,2019-10-20 20:39:00,6,0 days 00:00:00.170000000,True
254,Sia,"No New Friends (feat. Sia, Diplo, and Labrinth)",2019-10-20 20:39:00,6,0 days 00:00:02.218000000,True
255,"Tyler, The Creator",See You Again (feat. Kali Uchis),2019-10-20 20:39:00,6,0 days 00:00:00.874000000,True
256,Mac Miller,Self Care,2019-10-20 20:41:00,6,0 days 00:01:40.821000000,False
257,Mac Miller,Jet Fuel,2019-10-20 20:47:00,6,0 days 00:05:54.222000000,False
258,Mac Miller,2009,2019-10-20 20:55:00,6,0 days 00:00:48.557000000,False
259,Disclosure,Latch - DJ Premier Remix,2019-10-20 20:57:00,6,0 days 00:01:52.085000000,False
260,Post Malone,Circles,2019-10-20 21:00:00,6,0 days 00:03:35.280000000,False
261,Lewis Blissett,Killing Butterflies,2019-10-20 21:03:00,6,0 days 00:00:05.738000000,True
262,Hoodie Allen,Champagne and Pools (feat. Blackbear & Kyle),2019-10-20 21:03:00,6,0 days 00:01:30.444000000,False
263,Healy,Reckless,2019-10-20 21:04:00,6,0 days 00:00:01.834000000,True
264,Radical Face,"Welcome Home, Son",2019-10-20 21:13:00,6,0 days 00:03:44.981000000,False
265,Major Lazer,Know No Better,2019-10-20 21:17:00,6,0 days 00:03:45.849000000,False
266,Kanye West,Black Skinhead,2019-10-20 21:20:00,6,0 days 00:03:08.013000000,False
267,Cardi B,I Like It,2019-10-20 21:22:00,6,0 days 00:02:25.022000000,False
268,Sweater Beats,Glory Days (feat. Hayley Kiyoko) - Party Pupils Remix,2019-10-20 21:25:00,6,0 days 00:02:48.344000000,False
269,Louis The Child,It's Strange (feat. K.Flay),2019-10-20 21:28:00,6,0 days 00:02:39.482000000,False
270,Snakehips,Don't Leave,2019-10-20 21:31:00,6,0 days 00:03:34.693000000,False
271,Jonas Blue,Rise,2019-10-20 21:31:00,6,0 days 00:00:05.655000000,True
272,The Naked And Famous,Young Blood,2019-10-20 21:34:00,6,0 days 00:02:16.213000000,False
273,Natalie La Rose,Somebody,2019-10-20 21:37:00,6,0 days 00:03:09.906000000,False
274,Calvin Harris,My Way,2019-10-20 21:40:00,6,0 days 00:03:39.159000000,False
275,5 Seconds of Summer,Youngblood,2019-10-20 21:40:00,6,0 days 00:00:07.036000000,True
276,Neon Trees,Animal,2019-10-20 21:44:00,6,0 days 00:03:32.293000000,False
277,RL Grime,I Wanna Know,2019-10-20 21:47:00,6,0 days 00:03:26.727000000,False
278,Lemaitre,Playing To Lose,2019-10-20 21:50:00,6,0 days 00:03:24.465000000,False
